[Time=2018-04-14 03:22:11.871-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Type=logging]core server thread 20 started
[Time=2018-04-14 03:22:12.052-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Type=logging]using {ExactiveService, Version=2.8.1.2806, Culture=neutral, PublicKeyToken=afdcd0a06562c881, "C:\Xcalibur\system\Exactive\bin\ExactiveService.exe"", Release"}; {ExactiveManager, Version=2.8.1.2806, Culture=neutral, PublicKeyToken=afdcd0a06562c881, "C:\Windows\assembly\GAC_MSIL\ExactiveManager\2.8.1.2806__afdcd0a06562c881\ExactiveManager.dll"", Release"}; {ThermoFisher.Foundation.IO, Version=3.1.94.0, Culture=neutral, PublicKeyToken=7336a1ad73b8d604, "C:\Windows\Microsoft.Net\assembly\GAC_32\ThermoFisher.Foundation.IO\v4.0_3.1.94.0__7336a1ad73b8d604\ThermoFisher.Foundation.IO.dll"", "}; {Exactive, Version=2.8.1.2806, Culture=neutral, PublicKeyToken=afdcd0a06562c881, "C:\Windows\assembly\GAC_MSIL\Exactive\2.8.1.2806__afdcd0a06562c881\Exactive.dll"", Release"}; {mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089, "C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorlib.dll"", "}
[Time=2018-04-14 03:22:07.697-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Type=logging]IoNode for Q Exactive created
[Time=2018-04-14 03:22:07.743-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Type=logging]communication thread 18 started
[Time=2018-04-14 03:22:12.905-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Type=logging]new ICS1 client connection[172.16.0.101:6020->172.16.0.201:46544]
[Time=2018-04-14 03:22:14.835-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(ICS1:6020->Q Exactive:46544)][Type=logging]new control connection
[Time=2018-04-14 03:22:16.847-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Type=logging]new IDS1 client connection[172.16.0.101:6021->172.16.0.201:51750]
[Time=2018-04-14 03:23:37.466-05:00][Acc=25P7XG2\Xcalibur_System][User=Xcalibur_System][Comp=25P7XG2][App=ThermoFisher.Foundation.AcquisitionService][PID=2940][Type=info]New application as 35b2d420-f79a-4b08-858e-5d2d3713e36c assigned id 1: 25P7XG2\Xcalibur_System(Xcalibur_System) from 25P7XG2.ThermoFisher.Foundation.AcquisitionService(2940)
[Time=2018-04-14 03:23:37.604-05:00][Acc=25P7XG2\Xcalibur_System][User=Xcalibur_System][Comp=25P7XG2][App=ThermoFisher.Foundation.AcquisitionService][PID=2940][Inst=Q Exactive][Type=logging]Executing service command for Q Exactive: Thermo.Prometheus.Manager.Remoting.GetInstrumentProperties
[Time=2018-04-14 03:23:37.604-05:00][Acc=25P7XG2\Xcalibur_System][User=Xcalibur_System][Comp=25P7XG2][App=ThermoFisher.Foundation.AcquisitionService][PID=2940][Inst=Q Exactive][Type=logging]Executing service command for Q Exactive: Thermo.Prometheus.Manager.Remoting.GetInstrumentProperties
[Time=2018-04-14 03:23:44.448-05:00][Acc=25P7XG2\Xcalibur_System][User=Xcalibur_System][Comp=25P7XG2][App=ThermoFisher.Foundation.AcquisitionService][PID=2940][Inst=Q Exactive][Conn=TCP(ICS1:6020->Q Exactive:46544)][Type=info]Initializing instrument
[Time=2018-04-14 03:27:21.793-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Type=logging]new IRS1 client connection[172.16.0.101:6019->172.16.0.201:57565]
[Time=2018-04-14 03:27:21.999-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 03:42:21.589-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 03:57:21.586-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 04:12:21.583-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 04:27:21.581-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 04:42:21.577-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 04:57:21.575-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 05:12:21.571-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 05:27:21.568-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 05:42:21.565-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 05:57:21.562-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 06:12:21.559-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 06:27:21.556-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 06:42:21.553-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 06:57:21.549-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 07:12:21.547-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 07:27:21.543-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 07:42:21.541-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 07:57:21.537-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 08:12:21.534-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 08:27:21.531-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 08:42:21.528-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 08:57:21.525-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 09:12:21.522-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 09:27:21.519-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 09:42:21.516-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 09:57:21.512-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 10:12:21.510-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 10:27:21.506-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 10:42:21.504-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 10:57:21.500-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 11:12:21.498-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 11:27:21.494-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 11:42:21.491-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 11:57:21.488-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 12:12:21.485-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 12:27:21.482-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 12:42:21.479-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 12:57:21.476-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 13:12:21.472-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 13:27:21.459-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 13:42:21.454-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 13:57:21.451-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 14:12:21.448-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 14:27:21.444-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 14:42:21.441-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 14:57:21.438-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 15:12:21.435-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 15:27:21.432-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 15:42:21.429-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 15:57:21.426-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 16:12:21.423-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 16:27:21.419-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 16:42:21.417-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 16:57:21.413-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 17:12:21.410-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 17:27:21.407-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 17:42:21.404-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 17:57:21.401-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 18:12:21.398-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 18:27:21.395-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
[Time=2018-04-14 18:42:21.392-05:00][Acc=25P7XG2\ExactiveUser][User=ExactiveUser][Comp=25P7XG2][App=ExactiveService][PID=1872][Inst=Q Exactive][Conn=TCP(IRS1:6019->Q Exactive:57565)][Type=logging]Writing ..\log\InstrumentTemperature--2018-04-14.log: done
